0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:48:53 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:49:59 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:49:59 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:07 +0530] "GET /StudentFeedBackSystem/ HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:17 +0530] "GET /StudentFeedBackSystem/adminlogin.jsp HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:17 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:17 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:17 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:17 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:29 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:29 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:29 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:29 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:34 +0530] "GET /StudentFeedBackSystem/addsubject.jsp HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:34 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:34 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:38 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:38 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:38 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:39 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:40 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:40 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:41 +0530] "GET /StudentFeedBackSystem/addsubject.jsp HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:42 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:42 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:48 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:49 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:49 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:58 +0530] "GET /StudentFeedBackSystem/register.jsp HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:58 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:31:58 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:15 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:15 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:15 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:18 +0530] "GET /StudentFeedBackSystem/UserServlet?action=alluserlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:18 +0530] "GET /StudentFeedBackSystem/allstafflist.jsp HTTP/1.1" 200 7665
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:18 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:18 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:22 +0530] "GET /StudentFeedBackSystem/UserServlet?action=seefeedback&faculty_id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:22 +0530] "GET /StudentFeedBackSystem/allstafflistFeedback.jsp HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:22 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:22 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:25 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:25 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:27 +0530] "GET /StudentFeedBackSystem/adminlogin.jsp HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:27 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:27 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:34 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:34 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:34 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:32:34 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:33 +0530] "GET /StudentFeedBackSystem/UserServlet?action=alluserlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:33 +0530] "GET /StudentFeedBackSystem/allstafflist.jsp HTTP/1.1" 200 7665
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:33 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:33 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:38 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:38 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:39 +0530] "GET /StudentFeedBackSystem/adminlogin.jsp HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:39 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:39 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:10:34:49 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
